Material,n(486 nm),n(587 nm),n(656 nm)
NPGDA,1.49733,1.49142,1.48795
PMMA,1.5011,1.49355,1.49038
ZrO2,2.22721,2.21484,2.20343
TeO2,2.331753413,2.274935238,2.253162681
PbTiO3,2.79938062,2.697467055,2.659194896
NanoDiamond,2.43555,2.41748,2.4099
BGO,2.674123706,2.57034627,2.532895445
ZnS,2.42328,2.37047,2.34779
TiO2 SOPRA 1,3.0639394,2.91244,2.85373
TiO2/ZrO2,2.78503,2.67991,2.63696
TiO2/SiO2,2.131899299,2.22904,2.19943
MoO3,2.21077,2.14463,2.12464
HfO2,2.131899299,2.111507979,2.103353996
SiO2,1.4631322,1.4584976,1.4563746
SiHN,1.15438,1.15283,1.15212
MgF2HN2,1.140708795,1.13975676,1.139363882
